"StichtagDatJahr","QuarBisherSort","QuarBisherCd","QuarBisherLang","KreisBisherCd","QuarSort","QuarCd","QuarLang","KreisCd","AnzUmzuWir"
1993,42,"42","Langstrasse","4",41,"41","Werd","4",92
1993,42,"42","Langstrasse","4",42,"42","Langstrasse","4",797
1993,42,"42","Langstrasse","4",44,"44","Hard","4",213
1993,42,"42","Langstrasse","4",51,"51","Gewerbeschule","5",308
1993,42,"42","Langstrasse","4",52,"52","Escher Wyss","5",21
1993,42,"42","Langstrasse","4",61,"61","Unterstrass","6",103
1993,42,"42","Langstrasse","4",63,"63","Oberstrass","6",46
1993,42,"42","Langstrasse","4",71,"71","Fluntern","7",19
1993,42,"42","Langstrasse","4",72,"72","Hottingen","7",43
1993,42,"42","Langstrasse","4",73,"73","Hirslanden","7",19
1993,42,"42","Langstrasse","4",74,"74","Witikon","7",8
1993,42,"42","Langstrasse","4",81,"81","Seefeld","8",33
1993,42,"42","Langstrasse","4",82,"82","Mühlebach","8",34
1993,42,"42","Langstrasse","4",83,"83","Weinegg","8",17
1993,42,"42","Langstrasse","4",91,"91","Albisrieden","9",80
1993,42,"42","Langstrasse","4",92,"92","Altstetten","9",128
1993,42,"42","Langstrasse","4",101,"101","Höngg","10",48
1993,42,"42","Langstrasse","4",102,"102","Wipkingen","10",119
1993,42,"42","Langstrasse","4",111,"111","Affoltern","11",43
1993,42,"42","Langstrasse","4",115,"115","Oerlikon","12",68
1993,42,"42","Langstrasse","4",119,"119","Seebach","12",57
1993,42,"42","Langstrasse","4",121,"121","Saatlen","12",15
1993,42,"42","Langstrasse","4",122,"122","Schwamendingen-Mitte","12",35
1993,42,"42","Langstrasse","4",123,"123","Hirzenbach","12",26
1993,44,"44","Hard","4",11,"11","Rathaus","1",10
1993,44,"44","Hard","4",12,"12","Hochschulen","1",5
1993,44,"44","Hard","4",13,"13","Lindenhof","1",0
1993,44,"44","Hard","4",14,"14","City","1",2
1993,44,"44","Hard","4",21,"21","Wollishofen","2",31
1993,44,"44","Hard","4",23,"23","Leimbach","2",9
1993,44,"44","Hard","4",24,"24","Enge","2",16
1993,44,"44","Hard","4",31,"31","Alt-Wiedikon","3",82
1993,44,"44","Hard","4",33,"33","Friesenberg","3",28
1993,44,"44","Hard","4",34,"34","Sihlfeld","3",188
1993,44,"44","Hard","4",41,"41","Werd","4",27
1993,44,"44","Hard","4",42,"42","Langstrasse","4",114
1993,44,"44","Hard","4",44,"44","Hard","4",320
1993,44,"44","Hard","4",51,"51","Gewerbeschule","5",88
1993,44,"44","Hard","4",52,"52","Escher Wyss","5",12
1993,44,"44","Hard","4",61,"61","Unterstrass","6",50
1993,44,"44","Hard","4",63,"63","Oberstrass","6",10
1993,44,"44","Hard","4",71,"71","Fluntern","7",5
1993,44,"44","Hard","4",72,"72","Hottingen","7",14
1993,44,"44","Hard","4",73,"73","Hirslanden","7",11
1993,44,"44","Hard","4",74,"74","Witikon","7",6
1993,44,"44","Hard","4",81,"81","Seefeld","8",24
1993,44,"44","Hard","4",82,"82","Mühlebach","8",8
1993,44,"44","Hard","4",83,"83","Weinegg","8",8
1993,44,"44","Hard","4",91,"91","Albisrieden","9",45
1993,44,"44","Hard","4",92,"92","Altstetten","9",147
1993,44,"44","Hard","4",101,"101","Höngg","10",36
1993,44,"44","Hard","4",102,"102","Wipkingen","10",67
1993,44,"44","Hard","4",111,"111","Affoltern","11",15
1993,44,"44","Hard","4",115,"115","Oerlikon","12",37
1993,44,"44","Hard","4",119,"119","Seebach","12",21
1993,44,"44","Hard","4",121,"121","Saatlen","12",27
1993,44,"44","Hard","4",122,"122","Schwamendingen-Mitte","12",24
1993,44,"44","Hard","4",123,"123","Hirzenbach","12",7
1993,51,"51","Gewerbeschule","5",11,"11","Rathaus","1",26
1993,51,"51","Gewerbeschule","5",12,"12","Hochschulen","1",5
1993,51,"51","Gewerbeschule","5",13,"13","Lindenhof","1",6
1993,51,"51","Gewerbeschule","5",14,"14","City","1",8
1993,51,"51","Gewerbeschule","5",21,"21","Wollishofen","2",29
1993,51,"51","Gewerbeschule","5",23,"23","Leimbach","2",3
1993,51,"51","Gewerbeschule","5",24,"24","Enge","2",39
1993,51,"51","Gewerbeschule","5",31,"31","Alt-Wiedikon","3",110
1993,51,"51","Gewerbeschule","5",33,"33","Friesenberg","3",25
1993,51,"51","Gewerbeschule","5",34,"34","Sihlfeld","3",162
1993,51,"51","Gewerbeschule","5",41,"41","Werd","4",38
1993,51,"51","Gewerbeschule","5",42,"42","Langstrasse","4",228
1993,51,"51","Gewerbeschule","5",44,"44","Hard","4",122
1993,51,"51","Gewerbeschule","5",51,"51","Gewerbeschule","5",456
1993,51,"51","Gewerbeschule","5",52,"52","Escher Wyss","5",18
1993,51,"51","Gewerbeschule","5",61,"61","Unterstrass","6",113
1993,51,"51","Gewerbeschule","5",63,"63","Oberstrass","6",35
1993,51,"51","Gewerbeschule","5",71,"71","Fluntern","7",18
1993,51,"51","Gewerbeschule","5",72,"72","Hottingen","7",34
1993,51,"51","Gewerbeschule","5",73,"73","Hirslanden","7",21
1993,51,"51","Gewerbeschule","5",74,"74","Witikon","7",11
1993,51,"51","Gewerbeschule","5",81,"81","Seefeld","8",49
1993,51,"51","Gewerbeschule","5",82,"82","Mühlebach","8",30
1993,51,"51","Gewerbeschule","5",83,"83","Weinegg","8",24
1993,51,"51","Gewerbeschule","5",91,"91","Albisrieden","9",36
1993,51,"51","Gewerbeschule","5",92,"92","Altstetten","9",83
1993,51,"51","Gewerbeschule","5",101,"101","Höngg","10",60
1993,51,"51","Gewerbeschule","5",102,"102","Wipkingen","10",123
1993,51,"51","Gewerbeschule","5",111,"111","Affoltern","11",30
1993,51,"51","Gewerbeschule","5",115,"115","Oerlikon","12",55
1993,51,"51","Gewerbeschule","5",119,"119","Seebach","12",49
1993,51,"51","Gewerbeschule","5",121,"121","Saatlen","12",8
1993,51,"51","Gewerbeschule","5",122,"122","Schwamendingen-Mitte","12",30
1993,51,"51","Gewerbeschule","5",123,"123","Hirzenbach","12",17
1993,52,"52","Escher Wyss","5",11,"11","Rathaus","1",2
1993,52,"52","Escher Wyss","5",12,"12","Hochschulen","1",0
1993,52,"52","Escher Wyss","5",13,"13","Lindenhof","1",2
1993,52,"52","Escher Wyss","5",14,"14","City","1",5
1993,52,"52","Escher Wyss","5",21,"21","Wollishofen","2",5
1993,52,"52","Escher Wyss","5",23,"23","Leimbach","2",2
1993,52,"52","Escher Wyss","5",24,"24","Enge","2",6
1993,52,"52","Escher Wyss","5",31,"31","Alt-Wiedikon","3",14
1993,52,"52","Escher Wyss","5",33,"33","Friesenberg","3",0
1993,52,"52","Escher Wyss","5",34,"34","Sihlfeld","3",24
1993,52,"52","Escher Wyss","5",41,"41","Werd","4",7
1993,52,"52","Escher Wyss","5",42,"42","Langstrasse","4",19
1993,52,"52","Escher Wyss","5",44,"44","Hard","4",26
1993,52,"52","Escher Wyss","5",51,"51","Gewerbeschule","5",31
1993,52,"52","Escher Wyss","5",52,"52","Escher Wyss","5",16
1993,52,"52","Escher Wyss","5",61,"61","Unterstrass","6",8
1993,52,"52","Escher Wyss","5",63,"63","Oberstrass","6",3
1993,52,"52","Escher Wyss","5",71,"71","Fluntern","7",8
1993,52,"52","Escher Wyss","5",72,"72","Hottingen","7",3
1993,52,"52","Escher Wyss","5",73,"73","Hirslanden","7",3
1993,52,"52","Escher Wyss","5",74,"74","Witikon","7",2
1993,52,"52","Escher Wyss","5",81,"81","Seefeld","8",5
1993,52,"52","Escher Wyss","5",82,"82","Mühlebach","8",0
1993,52,"52","Escher Wyss","5",83,"83","Weinegg","8",2
1993,52,"52","Escher Wyss","5",91,"91","Albisrieden","9",10
1993,52,"52","Escher Wyss","5",92,"92","Altstetten","9",25
1993,52,"52","Escher Wyss","5",101,"101","Höngg","10",8
1993,52,"52","Escher Wyss","5",102,"102","Wipkingen","10",15
1993,52,"52","Escher Wyss","5",111,"111","Affoltern","11",3
1993,52,"52","Escher Wyss","5",115,"115","Oerlikon","12",11
1993,52,"52","Escher Wyss","5",119,"119","Seebach","12",9
1993,52,"52","Escher Wyss","5",121,"121","Saatlen","12",0
1993,52,"52","Escher Wyss","5",122,"122","Schwamendingen-Mitte","12",0
1993,52,"52","Escher Wyss","5",123,"123","Hirzenbach","12",1
1993,61,"61","Unterstrass","6",11,"11","Rathaus","1",20
1993,61,"61","Unterstrass","6",12,"12","Hochschulen","1",8
1993,61,"61","Unterstrass","6",13,"13","Lindenhof","1",4
1993,61,"61","Unterstrass","6",14,"14","City","1",5
1993,61,"61","Unterstrass","6",21,"21","Wollishofen","2",55
1993,61,"61","Unterstrass","6",23,"23","Leimbach","2",8
1993,61,"61","Unterstrass","6",24,"24","Enge","2",45
1993,61,"61","Unterstrass","6",31,"31","Alt-Wiedikon","3",61
1993,61,"61","Unterstrass","6",33,"33","Friesenberg","3",15
1993,61,"61","Unterstrass","6",34,"34","Sihlfeld","3",89
1993,61,"61","Unterstrass","6",41,"41","Werd","4",42
1993,61,"61","Unterstrass","6",42,"42","Langstrasse","4",76
1993,61,"61","Unterstrass","6",44,"44","Hard","4",69
1993,61,"61","Unterstrass","6",51,"51","Gewerbeschule","5",87
1993,61,"61","Unterstrass","6",52,"52","Escher Wyss","5",5
1993,61,"61","Unterstrass","6",61,"61","Unterstrass","6",473
1993,61,"61","Unterstrass","6",63,"63","Oberstrass","6",155
1993,61,"61","Unterstrass","6",71,"71","Fluntern","7",45
